epoch,train_loss,val_miou,val_acc,val_macc,val_fwiou,val_mf1,framework
1,1.9095715681711833,0.13693807085398776,0.6848812181122449,0.3598259538038908,0.6447320152989162,0.17068661587843237,jittor
2,1.5894005695978801,0.16938833112726087,0.8292390784438776,0.3375089908441826,0.7851506753960684,0.1979118100353754,jittor
3,1.3681077758471172,0.17365612830230737,0.8758410395408164,0.31147225072337287,0.8308846373743977,0.2334073450162001,jittor
4,1.2233919699986775,0.17150498378678208,0.8901317362882653,0.2841867059355989,0.8422385583356355,0.20420327251962214,jittor
5,1.1228469014167786,0.16758547854850486,0.8985939492984694,0.26184117936733636,0.8516296628677095,0.2549483927692705,jittor
6,1.0418800711631775,0.1969349456634848,0.9075773278061224,0.273796866826169,0.8585382648081006,0.27631657526895315,jittor
7,1.0168172021706898,0.20870791044776207,0.9178820551658163,0.27876137992600547,0.868159299317313,0.3369629308442051,jittor
8,0.9501726627349854,0.22350972493822818,0.9269800302933674,0.28987661415510835,0.8798620584049753,0.35716287010574965,jittor
9,0.9322568674882253,0.23399888575816236,0.927099609375,0.3022167506913423,0.8789396966430005,0.36868640533639,jittor
10,0.8672765890757242,0.23776174424544758,0.9301000478316327,0.2964145792407723,0.8802794326376522,0.3733657591114057,jittor
11,0.8258080085118612,0.24113850906176212,0.9310935507015307,0.3000255228774454,0.8821835109051409,0.37762454369021103,jittor
12,0.7921437521775564,0.2482793599786146,0.9314742107780613,0.31067740548129213,0.8827354773852305,0.3895209332915394,jittor
13,0.7642073730627695,0.24881613447870127,0.9312569754464286,0.30602705355631726,0.8814731473870593,0.3914672999901243,jittor
14,0.7287049293518066,0.25303849107016724,0.930778659119898,0.31687077623831744,0.8818587084601477,0.39986507040071806,jittor
15,0.7005973557631174,0.26112552027356756,0.9322096221301021,0.3274620399857486,0.8838705443348507,0.4137715534844956,jittor
16,0.6781714558601379,0.2694012526280002,0.9344487404336734,0.3361293954107728,0.8864434159266604,0.431659256302973,jittor
17,0.6530018250147501,0.2744276186360059,0.9349220742984694,0.34142738495020253,0.8872365335318801,0.440048830499326,jittor
18,0.6442621648311615,0.2814641825814663,0.9374601403061225,0.34608890433308115,0.8907351631544391,0.4507005146966123,jittor
19,0.6204923292001089,0.2936942436751735,0.940542291135204,0.35289882855848365,0.8948499839938403,0.47573061235743624,jittor
20,0.6052672664324442,0.30146861557206295,0.9416035554846939,0.3548011328032238,0.8960811150421925,0.4860623950494198,jittor
21,0.5813336769739786,0.3109004916536165,0.9443110251913265,0.3712461822198403,0.9004096416538286,0.4961853335882745,jittor
22,0.5561028520266215,0.3145644462817852,0.9427684550382653,0.3789584710779966,0.8984670070502224,0.5009418921282486,jittor
23,0.5361157556374868,0.3239875024989724,0.9453384088010204,0.3827838343267676,0.9013745965149725,0.5158042166979108,jittor
24,0.5153666138648987,0.325635045649936,0.944693678252551,0.389501921225605,0.9014717765636459,0.5148817968676761,jittor
25,0.5011697709560394,0.332684334261752,0.9456562898596939,0.3963733205477097,0.9025747268494979,0.5261813907217161,jittor
26,0.48154475291570026,0.33308350518219315,0.9460389429209184,0.3947095243605992,0.9028959118506069,0.5321472228451044,jittor
27,0.4667145311832428,0.3393595697326563,0.9465640943877551,0.40223787845476705,0.9039789146260457,0.5398364141337688,jittor
28,0.4550284892320633,0.3340650226484137,0.9460817920918367,0.39512051657069647,0.9027779912595554,0.5335753334253474,jittor
29,0.4433812002340953,0.34245325202719,0.947493821747449,0.4002018437359521,0.9051727155086557,0.54603631692322,jittor
30,0.43393629789352417,0.33525122607278884,0.947866509885204,0.387774336636326,0.9056257531615121,0.5376133360668837,jittor
31,0.4140966882308324,0.34518750628687306,0.9480219626913265,0.4056129576187687,0.9057828461780061,0.5528457346046718,jittor
32,0.40112321078777313,0.3456675971425819,0.9479342713647959,0.40601831328322,0.9058009153712463,0.5491108874929713,jittor
33,0.38747719923655194,0.34939301989100585,0.9485222018494898,0.4067000247899238,0.9063761326480376,0.55641684865693,jittor
34,0.37535106639067334,0.34849965399609273,0.9489038584183673,0.40820902256757563,0.9069125815110273,0.5585493519327941,jittor
35,0.3656260867913564,0.35162319618824606,0.9487643494897959,0.41318870599323515,0.9071007333146709,0.5688375672861853,jittor
36,0.367717166741689,0.3555650078579138,0.9498116629464286,0.41463591438147007,0.9085738382818462,0.5685742843581377,jittor
37,0.3486054490009944,0.35346869390723634,0.9509227519132653,0.40655869010024526,0.9098046344836649,0.5583797043451003,jittor
38,0.3378463685512543,0.35408866280789564,0.9498584980867347,0.4131024586772167,0.9085132488587038,0.5669480811114068,jittor
39,0.3260626246531804,0.3624420606000181,0.9509237484056122,0.41885491351214604,0.910533672059074,0.5716294892495309,jittor
40,0.3171897381544113,0.35847711261098836,0.9507852359693878,0.41156192219969323,0.9096085823259736,0.573344153614519,jittor
